"","Date","DirRigCount","HorzRigCount","VertRigCount","TotalRigCount","PerDirRig","PercHorzRig","PercVertRig"
"854","2007-05-11",380,372,988,1740,0.218390804597701,0.213793103448276,0.567816091954023
"855","2007-05-18",372,377,995,1744,0.213302752293578,0.216169724770642,0.57052752293578
"856","2007-05-25",382,377,1001,1760,0.217045454545455,0.214204545454545,0.56875
"857","2007-06-01",383,383,1008,1774,0.215896279594138,0.215896279594138,0.568207440811725
"858","2007-06-08",387,380,993,1760,0.219886363636364,0.215909090909091,0.564204545454546
"859","2007-06-15",395,374,1004,1773,0.222786238014664,0.210941906373378,0.566271855611957
"860","2007-06-22",416,370,985,1771,0.234895539243365,0.208921513269339,0.556182947487295
"861","2007-06-29",404,377,994,1775,0.227605633802817,0.212394366197183,0.56
"862","2007-07-06",399,385,968,1752,0.227739726027397,0.219748858447489,0.552511415525114
"863","2007-07-13",396,396,999,1791,0.221105527638191,0.221105527638191,0.557788944723618
"864","2007-07-20",397,400,993,1790,0.221787709497207,0.223463687150838,0.554748603351955
"865","2007-07-27",385,410,980,1775,0.216901408450704,0.230985915492958,0.552112676056338
"866","2007-08-03",380,428,973,1781,0.21336327905671,0.240314430095452,0.546322290847838
"867","2007-08-10",378,428,992,1798,0.210233592880979,0.238042269187987,0.551724137931034
"868","2007-08-17",387,424,984,1795,0.215598885793872,0.236211699164345,0.548189415041783
"869","2007-08-24",381,435,1000,1816,0.209801762114537,0.239537444933921,0.550660792951542
"870","2007-08-31",391,433,1005,1829,0.213778020776381,0.236741388737015,0.549480590486605
"871","2007-09-07",374,435,1005,1814,0.206174200661522,0.239801543550165,0.554024255788313
"872","2007-09-14",390,425,972,1787,0.218242865137101,0.237828763290431,0.543928371572468
"873","2007-09-21",361,435,973,1769,0.204070096099491,0.245901639344262,0.550028264556247
"874","2007-09-28",350,438,972,1760,0.198863636363636,0.248863636363636,0.552272727272727
"875","2007-10-05",341,428,986,1755,0.194301994301994,0.243874643874644,0.561823361823362
"876","2007-10-12",338,428,1001,1767,0.191284663271081,0.242218449349179,0.56649688737974
"877","2007-10-19",336,420,1008,1764,0.19047619047619,0.238095238095238,0.571428571428572
"878","2007-10-26",334,433,993,1760,0.189772727272727,0.246022727272727,0.564204545454546
"879","2007-11-02",336,436,1023,1795,0.187186629526462,0.242896935933148,0.56991643454039
"880","2007-11-09",345,438,1018,1801,0.191560244308717,0.243198223209328,0.565241532481955
"881","2007-11-16",346,435,1016,1797,0.192543127434613,0.242070116861436,0.565386755703951
"882","2007-11-21",346,456,1021,1823,0.189797037849698,0.250137136588042,0.56006582556226
"883","2007-11-30",345,435,993,1773,0.194585448392555,0.245346869712352,0.560067681895093
"884","2007-12-07",361,456,1011,1828,0.197483588621444,0.24945295404814,0.553063457330416
"885","2007-12-14",372,457,995,1824,0.203947368421053,0.250548245614035,0.545504385964912
"886","2007-12-21",371,461,977,1809,0.205085682697623,0.254836926478718,0.540077390823659
"887","2007-12-28",364,443,974,1781,0.204379562043796,0.248736664795059,0.546883773161145
"888","2008-01-04",356,447,971,1774,0.200676437429538,0.251972942502818,0.547350620067644
"889","2008-01-11",359,446,939,1744,0.205848623853211,0.255733944954128,0.538417431192661
"890","2008-01-18",359,448,925,1732,0.207274826789838,0.258660508083141,0.534064665127021
"891","2008-01-25",353,446,948,1747,0.202060675443618,0.255294791070406,0.542644533485976
"892","2008-02-01",371,459,933,1763,0.210436755530346,0.260351673284175,0.529211571185479
"893","2008-02-08",368,459,928,1755,0.20968660968661,0.261538461538462,0.528774928774929
"894","2008-02-15",369,453,951,1773,0.208121827411168,0.255499153976311,0.536379018612521
"895","2008-02-22",366,464,941,1771,0.206662902315076,0.261998870694523,0.531338226990401
"896","2008-02-29",356,461,946,1763,0.201928530913216,0.261486103233125,0.536585365853659
"897","2008-03-07",354,487,961,1802,0.196448390677026,0.270255271920089,0.533296337402886
"898","2008-03-14",351,482,959,1792,0.195870535714286,0.268973214285714,0.53515625
"899","2008-03-21",335,487,962,1784,0.187780269058296,0.272982062780269,0.539237668161435
"900","2008-03-28",350,482,976,1808,0.19358407079646,0.266592920353982,0.539823008849557
"901","2008-04-04",361,481,988,1830,0.197267759562842,0.262841530054645,0.539890710382514
"902","2008-04-11",365,480,970,1815,0.201101928374656,0.264462809917355,0.534435261707989
"903","2008-04-18",360,502,965,1827,0.197044334975369,0.274767378215654,0.528188286808976
"904","2008-04-25",374,511,957,1842,0.203040173724213,0.277415852334419,0.519543973941368
"905","2008-05-02",372,515,952,1839,0.202283849918434,0.280043501903208,0.517672648178358
"906","2008-05-09",374,513,959,1846,0.202600216684724,0.277898158179848,0.519501625135428
"907","2008-05-16",376,528,958,1862,0.201933404940924,0.283566058002148,0.514500537056928
"908","2008-05-23",385,544,960,1889,0.203811540497618,0.287983059820011,0.508205399682372
"909","2008-05-30",388,533,956,1877,0.20671283963772,0.283963771976558,0.509323388385722
"910","2008-06-06",370,548,968,1886,0.196182396606575,0.290562036055143,0.513255567338282
"911","2008-06-13",380,547,974,1901,0.199894792214624,0.287743293003682,0.512361914781694
"912","2008-06-20",382,544,980,1906,0.200419727177335,0.285414480587618,0.514165792235047
"913","2008-06-27",380,564,969,1913,0.198640878201777,0.294824882383691,0.506534239414532
"914","2008-07-04",387,555,979,1921,0.201457574180115,0.288912024986986,0.5096304008329
"915","2008-07-11",386,560,976,1922,0.200832466181061,0.291363163371488,0.507804370447451
"916","2008-07-18",384,568,976,1928,0.199170124481328,0.294605809128631,0.506224066390041
"917","2008-07-25",380,587,990,1957,0.194174757281553,0.299948901379663,0.505876341338784
"918","2008-08-01",377,587,987,1951,0.193234238851871,0.300871348026653,0.505894413121476
"919","2008-08-08",362,594,1011,1967,0.18403660396543,0.301982714794103,0.513980681240468
"920","2008-08-15",376,600,1014,1990,0.18894472361809,0.301507537688442,0.509547738693467
"921","2008-08-22",389,603,1006,1998,0.194694694694695,0.301801801801802,0.503503503503503
"922","2008-08-29",388,626,1017,2031,0.191038897095027,0.30822255046775,0.500738552437223
"923","2008-09-05",391,624,998,2013,0.194237456532539,0.309985096870343,0.495777446597119
"924","2008-09-12",398,638,995,2031,0.195962580009847,0.314130969965534,0.489906450024618
"925","2008-09-19",404,627,987,2018,0.200198216055501,0.310703666997027,0.489098116947473
"926","2008-09-26",382,636,977,1995,0.191478696741855,0.318796992481203,0.489724310776942
"927","2008-10-03",380,632,967,1979,0.192016169782719,0.319353208691258,0.488630621526023
"928","2008-10-10",372,626,992,1990,0.186934673366834,0.314572864321608,0.498492462311558
"929","2008-10-17",384,624,968,1976,0.194331983805668,0.315789473684211,0.489878542510121
"930","2008-10-24",381,643,940,1964,0.193991853360489,0.327393075356415,0.478615071283096
"931","2008-10-31",381,650,940,1971,0.193302891933029,0.329781836631152,0.476915271435819
"932","2008-11-07",393,644,955,1992,0.197289156626506,0.323293172690763,0.479417670682731
"933","2008-11-14",389,624,928,1941,0.200412158681092,0.321483771251932,0.478104070066976
"934","2008-11-21",378,636,927,1941,0.194744976816074,0.327666151468315,0.477588871715611
"935","2008-11-26",370,620,876,1866,0.198285101822079,0.332261521972133,0.469453376205788
"936","2008-12-05",366,625,861,1852,0.197624190064795,0.337473002159827,0.464902807775378
"937","2008-12-12",349,618,823,1790,0.194972067039106,0.345251396648045,0.459776536312849
"938","2008-12-19",341,610,813,1764,0.193310657596372,0.345804988662132,0.460884353741497
"939","2008-12-26",325,587,809,1721,0.188843695525857,0.341080766995933,0.47007553747821
"940","2009-01-02",311,560,752,1623,0.191620455945779,0.345040049291436,0.463339494762785
"941","2009-01-09",315,552,722,1589,0.198237885462555,0.347388294524858,0.454373820012587
"942","2009-01-16",323,548,697,1568,0.205994897959184,0.349489795918367,0.444515306122449
"943","2009-01-23",290,558,667,1515,0.191419141914191,0.368316831683168,0.44026402640264
"944","2009-01-30",295,548,629,1472,0.200407608695652,0.372282608695652,0.427309782608696
"945","2009-02-06",281,518,600,1399,0.200857755539671,0.370264474624732,0.428877769835597
"946","2009-02-13",259,497,583,1339,0.193427931292009,0.371172516803585,0.435399551904406
"947","2009-02-20",244,475,581,1300,0.187692307692308,0.365384615384615,0.446923076923077
"948","2009-02-27",238,454,551,1243,0.19147224456959,0.365245374094932,0.443282381335479
"949","2009-03-06",237,445,488,1170,0.202564102564103,0.38034188034188,0.417094017094017
"950","2009-03-13",226,432,468,1126,0.200710479573712,0.383658969804618,0.41563055062167
"951","2009-03-20",207,436,442,1085,0.190783410138249,0.40184331797235,0.407373271889401
"952","2009-03-27",215,416,408,1039,0.206929740134745,0.400384985563041,0.392685274302214
"953","2009-04-03",212,409,422,1043,0.203259827420901,0.392138063279003,0.404602109300096
"954","2009-04-09",191,410,404,1005,0.190049751243781,0.407960199004975,0.401990049751244
"955","2009-04-17",186,399,390,975,0.190769230769231,0.409230769230769,0.4
"956","2009-04-24",172,385,398,955,0.180104712041885,0.403141361256544,0.416753926701571
"957","2009-05-01",169,385,391,945,0.178835978835979,0.407407407407407,0.413756613756614
"958","2009-05-08",164,380,384,928,0.176724137931035,0.40948275862069,0.413793103448276
"959","2009-05-15",160,379,379,918,0.174291938997821,0.412854030501089,0.412854030501089
"960","2009-05-22",163,375,362,900,0.181111111111111,0.416666666666667,0.402222222222222
"961","2009-05-29",164,376,359,899,0.182424916573971,0.418242491657397,0.399332591768632
"962","2009-06-05",170,372,345,887,0.191657271702368,0.419391206313416,0.388951521984217
"963","2009-06-12",164,381,331,876,0.187214611872146,0.434931506849315,0.377853881278539
"964","2009-06-19",174,391,334,899,0.193548387096774,0.434927697441602,0.371523915461624
"965","2009-06-26",171,390,356,917,0.186477644492912,0.425299890948746,0.388222464558342
"966","2009-07-02",161,396,371,928,0.173491379310345,0.426724137931034,0.399784482758621
"967","2009-07-10",165,390,361,916,0.180131004366812,0.425764192139738,0.39410480349345
"968","2009-07-17",176,399,345,920,0.191304347826087,0.433695652173913,0.375
"969","2009-07-24",183,408,352,943,0.19406150583245,0.432661717921527,0.373276776246023
"970","2009-07-31",180,413,355,948,0.189873417721519,0.435654008438819,0.374472573839662
"971","2009-08-07",172,422,372,966,0.178053830227743,0.436853002070393,0.385093167701863
"972","2009-08-14",174,421,373,968,0.179752066115702,0.434917355371901,0.385330578512397
"973","2009-08-21",171,428,386,985,0.173604060913706,0.434517766497462,0.391878172588833
"974","2009-08-28",177,429,393,999,0.177177177177177,0.429429429429429,0.393393393393393
"975","2009-09-04",189,426,394,1009,0.187314172447968,0.422200198216056,0.390485629335976
"976","2009-09-11",184,430,385,999,0.184184184184184,0.43043043043043,0.385385385385385
"977","2009-09-18",195,432,383,1010,0.193069306930693,0.427722772277228,0.379207920792079
"978","2009-09-25",194,442,381,1017,0.190757128810226,0.434611602753196,0.374631268436578
"979","2009-10-02",184,444,396,1024,0.1796875,0.43359375,0.38671875
"980","2009-10-09",184,463,394,1041,0.176753121998079,0.4447646493756,0.378482228626321
"981","2009-10-16",181,465,394,1040,0.174038461538462,0.447115384615385,0.378846153846154
"982","2009-10-23",179,472,397,1048,0.170801526717557,0.450381679389313,0.37881679389313
"983","2009-10-30",180,497,392,1069,0.168381665107577,0.464920486435921,0.366697848456501
"984","2009-11-06",186,507,385,1078,0.172541743970315,0.470315398886827,0.357142857142857
"985","2009-11-13",194,512,395,1101,0.176203451407811,0.465031789282471,0.358764759309718
"986","2009-11-20",189,531,393,1113,0.169811320754717,0.477088948787062,0.353099730458221
"987","2009-11-25",188,539,410,1137,0.165347405452946,0.4740545294635,0.360598065083553
"988","2009-12-04",185,547,409,1141,0.162138475021911,0.479404031551271,0.358457493426819
"989","2009-12-11",191,558,412,1161,0.164513350559862,0.48062015503876,0.354866494401378
"990","2009-12-18",202,572,419,1193,0.169321039396479,0.479463537300922,0.351215423302598
"991","2009-12-23",199,564,415,1178,0.16893039049236,0.478777589134126,0.352292020373514
"992","2009-12-31",200,571,418,1189,0.168208578637511,0.480235492010093,0.351555929352397
"993","2010-01-08",199,583,438,1220,0.163114754098361,0.477868852459016,0.359016393442623
"994","2010-01-15",204,611,433,1248,0.163461538461538,0.489583333333333,0.346955128205128
"995","2010-01-22",218,627,437,1282,0.170046801872075,0.489079563182527,0.340873634945398
"996","2010-01-29",226,647,444,1317,0.171602126044039,0.491268033409264,0.337129840546697
"997","2010-02-05",230,659,446,1335,0.172284644194757,0.493632958801498,0.334082397003745
"998","2010-02-12",232,663,451,1346,0.172362555720654,0.492570579494799,0.335066864784547
